timestamp,ecg_value
0.0,196
0.0,193
0.0,194
0.0,197
0.0,199
0.0,200
0.002,200
0.002,198
0.002,197
0.002,194
0.002,194
0.002,196
0.002,199
0.002,200
0.002,200
0.0035,199
0.0035,198
0.0035,195
0.0035,194
0.0035,195
0.0035,198
0.0035,200
0.0035,200
0.0035,199
0.0035,198
0.0035,196
0.0035,194
0.0035,194
0.0035,197
0.0035,199
0.0035,200
0.0035,200
0.0035,199
0.0035,197
0.0035,194
0.0035,194
0.0035,196
0.0035,199
0.0035,200
0.0035,200
0.0035,199
0.0035,198
0.0035,195
0.0035,194
0.0035,195
0.0097,198
0.0097,200
0.0097,200
0.0097,199
0.0097,198
0.0097,196
0.0097,194
0.0097,194
0.0097,197
0.0097,199
0.0097,200
0.0097,200
0.0117,199
0.0117,197
0.0117,194
0.0117,194
0.0117,196
0.0117,199
0.0117,200
0.0117,200
0.0117,199
0.0117,198
0.0117,195
0.0117,194
0.0137,195
0.0137,198
0.0137,200
0.0137,200
0.0137,199
0.0137,198
0.0137,196
0.0137,194
0.0137,194
0.0137,197
0.0137,199
0.0157,200
0.0157,200
0.0157,199
0.0157,197
0.0157,194
0.0157,194
0.0157,196
0.0157,199
0.0157,200
0.0157,200
0.0157,199
0.0157,198
0.0177,195
0.0177,194
0.0177,195
0.0177,198
0.0177,199
0.0177,200
0.0177,199
0.0177,198
0.0177,196
0.0177,194
0.0177,194
0.0195,197
0.0195,199
0.0195,200
0.0195,199
0.0202,199
0.0202,197
0.0211,194
0.0211,194
0.0216,196
0.0216,199
0.0216,200
0.0216,200
0.0216,199
0.0216,198
0.0216,195
0.0216,194
0.0216,195
0.0216,198
0.0216,199
0.0236,200
0.0236,199
0.0236,198
0.0236,196
0.0236,194
0.0236,194
0.0236,197
0.0236,199
0.0236,200
0.0236,199
0.0236,199
0.0236,197
0.0236,194
0.0236,194
0.0236,196
0.0236,199
0.0236,200
0.0236,200
0.0236,199
0.0236,197
0.0236,195
0.0236,194
0.0236,195
0.0236,198
0.0236,199
0.0236,200
0.0236,199
0.0236,198
0.0236,196
0.0236,194
0.0236,194
0.0236,197
0.0236,199
0.0236,200
0.0236,199
0.0236,198
0.0236,197
0.0236,194
0.0236,194
0.0236,196
0.0236,199
0.0236,200
0.0236,200
0.0236,199
0.0236,197
0.0236,195
0.0236,194
0.0236,195
0.0236,198
0.0236,199
0.0236,200
0.0236,199
0.0236,198
0.0236,196
0.0236,194
0.0236,194
0.0236,197
0.0236,199
0.0236,200
0.0236,199
0.0236,198
0.0236,197
0.0236,194
0.0236,194
0.0236,196
0.0236,199
0.0236,200
0.0236,200
0.0236,199
0.0355,198
0.0355,195
0.0355,194
0.0355,195
0.0367,198
0.0367,199
0.0375,200
0.0375,199
0.0375,198
0.0375,196
0.0385,194
0.0385,194
0.0385,197
0.0385,199
0.0385,200
0.0385,200
0.0385,198
0.0385,197
0.0385,194
0.0385,194
0.0385,196
0.0405,199
0.0405,200
0.0405,200
0.0405,199
0.0405,198
0.0405,195
0.0405,194
0.0405,195
0.0405,198
0.0405,199
0.0425,200
0.0425,199
0.0425,198
0.0425,196
0.0425,194
0.0425,194
0.0425,197
0.0425,199
0.0425,200
0.0425,200
0.0425,199
0.0425,197
0.0425,194
0.0425,194
0.0425,196
0.0425,199
0.0425,200
0.0425,200
0.0425,199
0.0425,198
0.0425,195
0.0425,194
0.0425,195
0.0425,198
0.0425,199
0.0425,200
0.0425,199
0.0425,198
0.0425,196
0.0425,194
0.0425,194
0.0425,197
0.0425,199
0.0425,200
0.0425,199
0.0425,198
0.0514,197
0.0514,194
0.0514,194
0.0514,196
0.0514,199
0.0514,200
0.0514,200
0.0514,199
0.0534,198
0.0534,195
0.0534,194
0.0534,195
0.0534,198
0.0534,199
0.0534,200
0.0554,199
0.0554,198
0.0554,196
0.0554,194
0.0554,194
0.0554,197
0.0575,199
0.0575,200
0.0575,199
0.0575,198
0.0575,197
0.0575,194
0.0575,194
0.0575,196
0.0575,199
0.0575,200
0.0575,200
0.0575,199
0.0575,198
0.0575,195
0.0575,194
0.0575,195
0.0575,198
0.0575,199
0.0575,200
0.0575,199
0.0575,198
0.0575,196
0.0575,194
0.0575,194
0.0575,197
0.0575,199
0.0575,200
0.0575,200
0.0575,198
0.0575,197
0.0575,194
0.0575,194
0.0575,196
0.0575,199
0.0575,200
0.0575,200
0.0575,199
0.0575,198
0.0672,195
0.0672,194
0.0672,195
0.0692,198
0.0692,200
0.0692,200
0.0692,199
0.0712,199
0.0712,196
0.0712,195
0.0733,195
0.0738,197
0.0738,200
0.0738,201
0.0738,200
0.0738,199
0.0759,198
0.0759,195
0.0759,195
0.0759,196
0.0759,199
0.0759,200
0.0779,199
0.0779,198
0.0779,196
0.0779,194
0.0779,193
0.0779,194
0.0779,197
0.0779,199
0.0779,200
0.0799,199
0.0799,198
0.0799,196
0.0799,194
0.0799,194
0.0799,197
0.0819,199
0.0819,200
0.0829,200
0.0829,198
0.0829,197
0.0829,194
0.0829,194
0.0829,196
0.085,199
0.085,200
0.085,200
0.085,199
0.085,198
0.085,195
0.085,194
0.085,195
0.085,198
0.085,199
0.085,200
0.085,199
0.085,198
0.085,196
0.085,194
0.085,194
0.085,197
0.085,199
0.085,200
0.085,200
0.085,198
0.085,197
0.085,194
0.085,194
0.085,196
0.085,199
0.085,200
0.085,200
0.085,199
0.085,198
0.085,195
0.085,194
0.085,195
0.085,198
0.085,199
0.085,200
0.085,199
0.085,198
0.085,196
0.085,194
0.085,194
0.085,197
0.085,199
0.085,200
0.085,199
0.085,199
0.085,197
0.085,194
0.085,194
0.085,196
0.085,198
0.085,200
0.085,200
0.085,199
0.085,198
0.085,195
0.085,194
0.085,195
0.085,198
0.085,199
0.085,200
0.085,199
0.085,198
0.085,196
0.085,194
0.085,194
0.085,197
0.085,199
0.085,200
0.085,199
0.085,199
0.085,197
0.085,194
0.085,194
0.085,196
0.099,198
0.099,200
0.099,200
0.099,199
0.099,198
0.1,195
0.1,194
0.1,195
0.1,198
0.1,199
0.1,200
0.1,199
0.1,198
0.1,196
0.1,194
0.1,194
0.1,197
0.1,199
0.1,200
0.1,200
0.1,199
0.1,197
0.1,194
0.1,194
0.1,196
0.1,199
0.1,200
0.1,200
0.1,199
0.1,198
0.1,195
0.1,194
0.1,195
0.1,198
0.1,199
0.1,200
0.1,199
0.1,198
0.1,196
0.1,194
0.1,194
0.1,197
0.1,199
0.1,200
0.1,199
0.1,198
0.1,197
0.1,194
0.1,194
0.1,195
0.1,198
0.1,200
0.1,200
0.1,199
0.1,198
0.1,195
0.1,194
0.1,195
0.1,198
0.1,199
0.1,200
0.1,199
0.1,198
0.1,196
0.1,194
0.1,194
0.1113,197
0.1113,199
0.1113,200
0.1113,200
0.1113,198
0.1113,197
0.1113,194
0.1113,194
0.1113,196
0.1113,198
0.1113,200
0.1113,200
0.1113,199
0.1113,198
0.1133,195
0.1133,194
0.1133,195
0.1133,198
0.1133,199
0.1133,200
0.1133,199
0.1133,198
0.1133,196
0.1133,194
0.1133,194
0.1133,197
0.115,199
0.115,200
0.115,200
0.115,198
0.115,197
0.115,194
0.115,194
0.115,196
0.115,199
0.115,200
0.115,200
0.115,199
0.115,198
0.115,195
0.115,194
0.115,195
0.115,197
0.115,199
0.115,200
0.115,199
0.115,198
0.115,196
0.115,194
0.115,194
0.115,197
0.115,199
0.115,200
0.115,200
0.115,199
0.115,197
0.115,195
0.115,194
0.115,196
0.115,198
0.115,200
0.115,200
0.115,199
0.115,198
0.115,195
0.115,194
0.115,195
0.115,198
0.1218,199
0.1218,200
0.1218,199
0.1218,198
0.1218,196
0.1218,194
0.1218,194
0.1218,197
0.1218,199
0.1218,200
0.1218,199
0.1218,199
